label,area,x,y,x_min,y_min,x_max,y_max,major_length,minor_length,eccentricity,solidity,mean_intensity,max_intensity,match_category,matched_label,match_distance,area_ratio,area_warning
1,141.0,104.2127659574468,5.439716312056738,96,0,115,13,21.925512432339616,9.809176592473856,0.8943407560810935,0.8011363636363636,23157.843971631206,36286.0,shared,1.0,1.9849103669867996,1.602272727090651,False
2,141.0,250.74468085106383,15.4822695035461,245,8,257,24,16.471814776788193,10.993231567747612,0.7447025639701473,0.9276315789473685,27853.787234042553,45563.0,shared,2.0,1.9613081726478814,1.1848739494802627,False
3,66.0,44.93939393939394,14.151515151515152,41,10,50,19,9.289796973702359,9.001731443085422,0.2470952646362234,0.9565217391304348,21804.515151515152,30698.0,shared,3.0,2.466385090573545,1.8857142851755102,False
4,49.0,61.57142857142857,18.46938775510204,58,15,66,23,8.22253236915298,7.56249259280567,0.392556433164738,0.9423076923076923,15942.224489795919,18250.0,shared,4.0,1.855918389228808,1.289473683871191,False
5,69.0,317.7971014492754,36.768115942028984,314,32,323,42,9.854303051595995,8.914070858895432,0.42628982616352756,0.9324324324324325,25260.898550724636,40703.0,shared,5.0,2.7460959762344492,1.72499999956875,False
6,67.0,93.68656716417911,46.91044776119403,90,43,99,52,9.532592469685513,8.975736918402289,0.3367781135498381,0.9305555555555556,22696.611940298506,34152.0,shared,6.0,2.265015060543086,1.3958333330425348,False
7,23.0,340.17391304347825,46.0,338,44,343,49,5.40531139753741,5.36036000258172,0.12869789041755691,1.0,15612.826086956522,16797.0,640_only,,,,False
8,92.0,422.05434782608694,90.41304347826087,417,85,428,96,11.434530179776097,10.225533652156315,0.4475319727066786,0.968421052631579,34564.20652173913,55707.0,shared,8.0,2.0066407686738086,2.8749999991015622,False
9,81.0,249.93827160493828,100.34567901234568,245,96,255,106,10.571954177207175,9.769651993335591,0.3821257780414951,0.9642857142857143,25686.123456790123,35201.0,shared,9.0,2.5373603422857083,1.5882352938062283,False
10,171.0,271.19883040935673,143.0701754385965,263,133,278,152,19.97073961308644,12.514870035860689,0.779292529088109,0.8066037735849056,33597.695906432746,58461.0,640_only,,,,False
11,50.0,291.08,138.84,288,135,295,144,9.432520668918164,6.843650621593102,0.6881822799698429,0.9433962264150944,23103.34,31933.0,shared,13.0,2.0448456125273924,1.7241379304399524,False
12,48.0,49.541666666666664,148.39583333333334,46,145,54,153,8.134282351687698,7.503247856815062,0.38618143114053577,0.9230769230769231,21497.0625,26480.0,shared,15.0,2.0720474120566887,1.116279069507842,False
13,90.0,35.166666666666664,154.56666666666666,29,150,41,161,11.630608093915175,10.099068154437667,0.49600764386478546,0.9183673469387755,29005.277777777777,46531.0,shared,16.0,1.251623534740093,1.384615384402367,False
14,40.0,120.175,159.05,117,156,124,163,7.301071620369641,6.940054264502045,0.3105629150754241,0.975609756097561,16396.0,19682.0,640_only,,,,False
15,10.0,402.5,174.4,401,173,405,177,4.079215610874227,3.224903099319419,0.6123724356957946,0.8333333333333334,14389.1,15064.0,640_only,,,,False
16,70.0,313.8285714285714,193.6,310,189,319,199,9.925668683519724,8.966256423180203,0.42892461011308425,0.9722222222222222,31255.457142857143,47113.0,shared,20.0,2.1900656788873296,1.6279069763656029,False
17,62.0,253.88709677419354,195.40322580645162,250,192,259,200,9.444095455133603,8.30878499352728,0.47536955738706815,1.0,26735.951612903227,41794.0,shared,21.0,2.817034776997273,1.0689655170570749,False
18,51.0,158.66666666666666,198.64705882352942,155,195,163,203,8.128833341338513,7.967718900634221,0.1981095657717916,0.9444444444444444,20857.980392156864,26112.0,shared,22.0,1.4096658735673593,1.307692307357002,False
19,121.0,194.29752066115702,213.70247933884298,188,208,201,220,12.91339642258924,11.925319799633527,0.3836360419449116,0.9603174603174603,36883.289256198346,54258.0,shared,24.0,1.7336893079661804,1.6805555553221452,False
20,65.0,3.0307692307692307,222.52307692307693,0,218,8,228,10.340965894806223,8.087644063176375,0.623156020982572,0.9848484848484849,28795.6,38894.0,shared,25.0,1.6652380464904477,1.29999999974,False
21,100.0,9.35,267.07,4,262,16,273,12.403087419017647,10.35205402208693,0.5508030430909289,0.9523809523809523,32354.3,50709.0,shared,28.0,1.9572801808558464,1.3157894735110804,False
22,64.0,32.0625,310.75,28,307,37,316,9.844287728465906,8.278133794471769,0.5411791273089466,0.9552238805970149,33008.390625,57973.0,640_only,,,,False
23,81.0,153.01234567901236,321.0617283950617,148,317,159,326,11.140885410061347,9.230383706028162,0.559967794944966,0.9642857142857143,24499.0,38509.0,shared,30.0,1.3578451059709116,1.1111111109739369,False
24,114.0,357.5,346.5,352,341,364,353,12.24888108029865,11.82325985860966,0.26131995663950547,0.95,32456.666666666668,47359.0,shared,31.0,2.042424182140501,1.6764705879887545,False
25,82.0,407.8780487804878,351.3292682926829,403,347,414,357,10.954964456529448,9.533843254456979,0.4925642976999108,0.9318181818181818,22623.365853658535,28500.0,640_only,,,,False
26,65.0,151.0,353.0,147,349,156,358,9.413574486632834,8.763560920082657,0.3651483716701107,0.9420289855072463,30670.66153846154,51920.0,640_only,,,,False
27,98.0,277.94897959183675,365.03061224489795,273,360,284,371,11.701459786381124,10.636806136331895,0.4167627140116221,0.9514563106796117,35906.22448979592,63076.0,shared,34.0,2.1855503002805174,1.224999999846875,False
28,4.0,378.25,361.0,378,360,380,363,2.8284271247461903,1.7320508075688772,0.7905694150420949,1.0,15951.0,17439.0,640_only,,,,False
29,112.0,35.901785714285715,375.58035714285717,29,371,44,382,15.87079251934259,9.118443180306008,0.8184748217039236,0.9180327868852459,27178.508928571428,40117.0,shared,35.0,1.7791038359757931,1.3999999998250001,False
30,72.0,35.833333333333336,411.7361111111111,32,407,41,417,9.966963622281297,9.176715386668791,0.39023983207925167,0.96,21261.36111111111,30419.0,shared,37.0,1.884553782044453,1.7560975605472933,False
31,83.0,295.26506024096386,415.6144578313253,291,411,301,421,10.618734027386864,9.924065723520991,0.3557507424552144,0.9764705882352941,26720.409638554218,34598.0,shared,38.0,2.070698581102364,2.964285713227041,False
32,84.0,18.738095238095237,437.54761904761904,14,432,24,443,10.788624163614376,9.913693843251732,0.39448469391428354,0.9545454545454546,25398.345238095237,36363.0,shared,39.0,1.967159967650493,1.1506849313492213,False
33,100.0,311.36,443.34,304,439,320,449,17.281345294247416,8.148122778959134,0.8818670366681081,0.8403361344537815,20351.28,23995.0,640_only,,,,False
34,61.0,205.86885245901638,474.8196721311475,202,471,211,480,10.112131330895446,7.701296683012086,0.6480593224266638,0.953125,22129.55737704918,27493.0,640_only,,,,False
35,41.0,161.0487804878049,486.390243902439,158,483,165,490,7.60211188602497,6.887706041595233,0.4232234337248486,0.9761904761904762,31287.48780487805,65535.0,640_only,,,,False
36,87.0,194.77011494252875,487.5287356321839,190,483,201,493,11.170981946131624,9.89629239849267,0.46389002904131804,0.9560439560439561,30068.80459770115,52271.0,shared,43.0,1.3993657850410337,1.739999999652,False
37,75.0,60.93333333333333,530.0,56,526,67,535,10.671572940328819,8.942394526530945,0.5457254289008635,0.9259259259259259,25669.6,47359.0,shared,45.0,1.3973081822227251,1.1363636361914602,False
38,91.0,269.1758241758242,540.3516483516484,264,535,275,546,11.357870879648146,10.204412448607524,0.43908785102698283,0.9578947368421052,33746.16483516483,49576.0,shared,46.0,1.9076947527922075,1.22972972956355,False
39,69.0,184.85507246376812,551.4057971014493,181,547,190,557,10.398259064092526,8.43601052325025,0.5846430149796268,0.9324324324324325,27528.666666666668,43522.0,640_only,,,,False
40,67.0,18.91044776119403,572.9104477611941,15,569,24,578,9.425275640294155,8.996521691161599,0.2981782810221271,0.9710144927536232,20591.641791044774,30147.0,shared,49.0,1.5427037142018798,1.2407407405109738,False
41,76.0,257.9342105263158,584.828947368421,254,578,263,591,13.850106895615603,7.681507919072209,0.8321055993043169,0.8837209302325582,27022.736842105263,52620.0,640_only,,,,False
42,66.0,381.030303030303,606.939393939394,377,603,386,612,9.285987745597481,9.02521719708426,0.23532042589936647,0.9565217391304348,20626.424242424244,27501.0,shared,50.0,2.3836534365888133,1.6097560971683522,False
43,17.0,270.0,651.6470588235294,268,650,273,655,4.7527082062880375,4.53818859340845,0.2970442628930021,1.0,19481.941176470587,20457.0,640_only,,,,False
44,72.0,375.6388888888889,660.5555555555555,371,656,381,666,9.944424603235188,9.254149529162664,0.3660715042178765,0.9230769230769231,26938.416666666668,45184.0,shared,53.0,2.1833670853167977,2.4827586198335316,False
45,189.0,277.8888888888889,666.7195767195767,272,657,284,678,23.350134195903472,10.651931977721047,0.8898860376449134,0.9264705882352942,35954.36507936508,53111.0,640_only,,,,False
46,56.0,77.76785714285714,662.6964285714286,74,659,83,667,9.145468331487434,7.8026160459826395,0.5216371096566934,0.9032258064516129,18902.089285714286,25670.0,shared,54.0,1.3787184311786178,1.333333333015873,False
47,9.0,173.33333333333334,682.6666666666666,171,682,177,684,5.971098560847527,1.8593259767334247,0.9502829948133152,0.9,17463.0,22249.0,shared,55.0,1.4391355429948205,1.6666666648148147,False
